Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoConformidadeOperacionalidade
9776; VALE GOLD;VALE GOLD S.A.;38.615.413/0001-53;-15°55'09.590";-56°29'27.180";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8662;0-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'00.100";-60°08'18.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;19,60;57.463.773,00;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8435;1 Mina;VALE S.A.;33.592.510/0001-54;-06°23'57.800";-50°20'24.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;Minério de Ferro;6,99;13.414,72;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8619;1 Usina;VALE S.A.;33.592.510/0001-54;-06°27'17.700";-50°13'43.500";Sul do Equador;CANAÃ DOS CARAJÁS;PA;Minério de Ferro;7,59;41.574,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8806;1. CONJUNTO DE LEIRAS DE DECANTAÇÃO;MINERADORA AREIA NOVA LTDA;02.286.818/0001-48;-23°11'34.600";-48°21'45.000";Sul do Equador;BOFETE;SP;Areia;3,00;140.059,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8779;103 (Cruz);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'08.600";-60°08'30.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;10,30;1.272.115,00;0 - Etapa única;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9144;11 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'17.062";-47°36'48.014";Sul do Equador;DESCALVADO;SP;Argila;5,00;1.140.000,00;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
8778;111 (Índio);MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.800";-60°08'39.400";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;5,00;1.063.736,00;0 - Etapa única;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9288;12 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'25.047";-47°38'34.049";Sul do Equador;ANALÂNDIA;SP;Argila;10,00;492.348,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9145;12 - DES;MINERACAO JUNDU LTDA;60.628.468/0001-57;-21°57'06.006";-47°36'47.022";Sul do Equador;DESCALVADO;SP;Argila;11,00;577.840,39;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
9146;13 - AN;MINERACAO JUNDU LTDA;60.628.468/0001-57;-22°09'18.075";-47°38'22.025";Sul do Equador;ANALÂNDIA;SP;Argila;8,00;663.184,00;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
8684;158 (A-1);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'16.900";-60°04'44.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;30,00;22.674.980,76;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8685;161 (A-2);MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'56.233";-60°04'08.396";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;10,90;1.018.054,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8771;189;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'22.400";-60°00'46.900";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;5,00;209.969,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8381;2;VALE S.A.;33.592.510/0001-54;-19°58'24.601";-43°36'13.419";Sul do Equador;BARÃO DE COCAIS;MG;Minério de Ferro;10,00;15.412,70;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
8668;22;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'19.100";-60°10'02.600";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;6,00;56.519,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8620;3 Mina;VALE S.A.;33.592.510/0001-54;-06°23'39.900";-50°19'11.300";Sul do Equador;CANAÃ DOS CARAJÁS;PA;Minério de Ferro;14,61;84.105,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8673;30-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°42'25.600";-60°11'33.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;8,00;1.320,09;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8675;42;MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'24.700";-60°11'48.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;4,90;130.979,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8774;444 (A-3);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'18.326";-60°04'33.114";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;14,70;1.122.245,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8421;5 (MAC);VALE S.A.;33.592.510/0001-54;-19°58'37.512";-43°53'34.810";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;78,00;12.137.057,16;2 - Alteamento a jusante;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8525;5 (Mutuca);VALE S.A.;33.592.510/0001-54;-20°01'34.413";-43°56'33.225";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;55,00;9.803.023,63;2 - Alteamento a jusante;Médio;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9629;6;VALE S.A.;33.592.510/0001-54;-19°57'36.000";-43°52'58.000";Sul do Equador;NOVA LIMA;MG;;21,60;67.585,43;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8676;68-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'25.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;6,00;3.752,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8677;69;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'35.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;5,00;84.941,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8678;75-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°45'41.600";-60°12'21.500";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;4,00;75.522,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9630;7a;VALE S.A.;33.592.510/0001-54;-19°57'56.000";-43°53'07.000";Sul do Equador;NOVA LIMA;MG;;37,67;183.112,89;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8422;7B;VALE S.A.;33.592.510/0001-54;-19°58'02.514";-43°52'58.725";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;27,40;205.394,78;0 - Etapa única;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8995;803.285/2014;PLINIO ALMEIDA BOSON & CIA LTDA;11.714.784/0001-36;-09°14'09.800";-42°34'41.200";Sul do Equador;SÃO LOURENÇO DO PIAUÍ;PI;Saibro;1,00;500,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8679;81-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'07.300";-60°11'36.280";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;4,70;3.311.822,00;0 - Etapa única;Alto;Médio;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8383;A - PDE Nordeste;VALE S.A.;33.592.510/0001-54;-19°56'55.421";-43°35'12.119";Sul do Equador;BARÃO DE COCAIS;MG;Minério de Ferro;7,25;300,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
