CodeIso3,Country,Continent,Region
AFG,Afghanistan,Asia,South Asia
ALB,Albania,Europe,Southeastern Europe
DZA,Algeria,Africa,Northern Africa
AND,Andorra,Europe,Southwestern Europe
AGO,Angola,Africa,Central Africa
AIA,Anguilla,Caribbean (North America),Lesser Antilles
ATA,Antarctica,Antarctica,Antarctica
ATG,Antigua and Barbuda,Caribbean (North America),Lesser Antilles
ARG,Argentina,South America,Southern Cone
ARM,Armenia,Asia,Western Asia
ABW,Aruba,Caribbean (South America),Lesser Antilles
AUS,Australia,Oceania,Australasia
AUT,Austria,Europe,Central Europe
AZE,Azerbaijan,Asia,Western Asia
BHS,Bahamas,Caribbean (North America),Greater Antilles
BHR,Bahrain,Asia,Western Asia
BGD,Bangladesh,Asia,South Asia
BRB,Barbados,Caribbean (North America),Lesser Antilles
BLR,Belarus,Europe,Eastern Europe
BEL,Belgium,Europe,Western Europe
BLZ,Belize,Central America,Northern Central America
BEN,Benin,Africa,West Africa
BMU,Bermuda,Caribbean (North America),North Atlantic Ocean
BTN,Bhutan,Asia,South Asia
BOL,Bolivia,South America,Central South America
BES,"Bonaire, Sint Eustatius, and Saba",Caribbean (South America),Lesser Antilles
BIH,Bosnia and Herzegovina,Europe,Southeastern Europe
BWA,Botswana,Africa,Southern Africa
BRA,Brazil,South America,Eastern South America
VGB,British Virgin Islands,Caribbean (North America),Lesser Antilles
BRN,Brunei,Asia,Southeast Asia
BGR,Bulgaria,Europe,Southeastern Europe
BFA,Burkina Faso,Africa,West Africa
BDI,Burundi,Africa,East Africa
KHM,Cambodia,Asia,Southeast Asia
CMR,Cameroon,Africa,Central Africa
CAN,Canada,North America,North America
CPV,Cape Verde,Africa,Western Africa
CAF,Central African Republic,Africa,Central Africa
TCD,Chad,Africa,Central Africa
CHL,Chile,South America,Western South America
CHN,China,Asia,East Asia
CXR,Christmas Island,Oceania,Indian Ocean
COL,Colombia,South America,Northern South America
COM,Comoros,Africa,East Africa
COG,Congo,Africa,Central Africa
COK,Cook Islands,Oceania,Polynesia
CRI,Costa Rica,Central America,Central Central America
CIV,Côte d'Ivoire,Africa,West Africa
HRV,Croatia,Europe,Southeastern Europe
CUB,Cuba,Caribbean (North America),Greater Antilles
CUW,Curaçao,Caribbean (South America),Lesser Antilles
CYP,Cyprus,Asia,Western Asia
CZE,Czechia,Europe,Central Europe
COD,Democratic Republic of the Congo,Africa,Central Africa
DNK,Denmark,Europe,Northern Europe
